pareto_points,approximated_pareto_points,grid_points_with_highest_costs,differences,difference_with_previous_champs
"[ 0.67600796  1.28065596  5.99972085  7.99903905  9.67808825  5.02773572
  6.42834771 15.22728866  7.45223945  7.42615877]","[0.7000000000000001, 1.2000000000000002, 6.0, 8.0, 9.5, 4.8, 6.3, 15.200000000000001, 7.2, 7.0]","[0.7000000000000001, 0.6000000000000001, 6.0, 8.0, 9.5, 4.8, 6.3, 15.200000000000001, 7.2, 7.0]",1.0770147600799156,"[0.6571198288617133, 0.06418402917384469, 0.06555294957120594, 0.14146096072669856, 0.031708547794886854, 0.5038191008443391, 0.6386094587796229, 1.5342963627363861, 0.6793646961889461, 0.8042926169997102, 0.3543419816469964, 1.1734748116426506, 0.9053800925124218, 0.8512727162905307, 0.8549775874195902, 0.9053800925124218, 0.8512727162905289, 0.8549775874195902, 1.0752394052802128, 1.1057821203904687, 1.075200427603713, 1.0913671189304335, 1.0759763862731226, 1.0768834879488232, 1.0778358964695371, 1.0752007707503175, 1.0788662029330407, 1.0831411601805279, 1.077195639245593, 1.0726171394892212, 1.0708612998492892, 1.083403264490208, 1.0782373584299823, 1.0827833944507361, 1.0722110935055085, 1.0987521597915908, 1.072494911430411, 1.0684630954535326, 1.4160223318224805, 1.084503315661001, 1.0352782829658604, 1.2990217982241106, 0.9912624433706902, 0.8545106005097143, 0.696270711223292, 0.7380071883373525, 0.6522548716281271, 0.7454957439184433, 0.6737302130017646, 0.9600142264815457]"
"[1.64995832 0.38817146 2.74251467 3.14942415 3.37457742 4.21299925
 1.11978785 1.50935171 6.6796248  7.0008334 ]","[1.6, 0.4, 2.6999999999999997, 3.2, 3.5, 4.2, 1.4, 1.6, 6.3, 7.0]","[1.6, 0.4, 2.6999999999999997, 3.2, 3.5, 4.2, 1.4, 1.6, 4.5, 7.0]",0.42475988845179025,"[0.011521203849223838, 0.17790180284396406, 0.00702291398943089, 0.16612831020395014, 0.2804916072646968, 0.3637353826788896, 0.06223814561623087, 0.028652924320482498, 0.9524266689511514, 0.523580184556323, 0.4986731699829292, 0.006453039352015466, 0.20514939264144694, 0.3245898023653009, 0.1765412679451277, 0.14118111610020456, 0.01456706852362366, 0.509036681199051, 0.18948028547722018, 0.1474499261007498, 0.3891042597599359, 0.11107957858033224, 0.005458849018921796, 0.11911389704849995, 0.12551317523928418, 0.11253025154413265, 0.1266774035413114, 0.11572116097483942, 0.1620674499433008, 0.11911389704849995, 0.12551317523928596, 0.11253025154413265, 0.1266774035413114, 0.11572116097483942, 0.1620674499433008, 0.18299430729714317, 0.18299430729714317, 0.18299430729714317, 0.18299430729714317, 0.18299430729714317, 0.18299430729714317, 0.18299430729714317, 0.18299430729714317, 0.18299430729714317, 0.18299430729714317, 0.1977497415594751, 0.04173647711405515, 0.04401583959517197, 0.09324087229031264, 0.021475341373639267, 0.3077593548534221, 0.04401583959516664, 0.08575231670922712, 0.0, 0.09324087229031797, 0.021475341373639267, 0.3077593548534221]"
"[ 1.99858909  3.91608494  5.89364517  7.97208001  9.99565184 11.88938649
  4.88675095  5.9041671  12.96440228  5.6378825 ]","[2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 4.8999999999999995, 5.6000000000000005, 12.6, 6.0]","[1.8, 4.0, 6.0, 8.0, 10.0, 12.0, 4.8999999999999995, 5.6000000000000005, 12.6, 6.0]",2.5613422190539703,"[1.9019955034272504, 0.6593467156267199, 0.04646230273690577, 0.6593467156267199, 0.0, 0.04646230273690577, 1.0556050834394668, 0.5422309839366495, 0.5782347526571838, 1.0556050834394668, 0.5422309839366273, 0.5782347526571909, 1.4518634512521977, 1.0844619678732546, 1.1100072025774708, 1.4518634512522137, 1.0844619678732705, 1.1100072025774708, 2.3512647790609877, 2.37140400270676, 2.330809921248113, 2.375093796955169, 2.3406890354023933, 2.4905469888755993, 2.3512647790609913, 2.3714040027067584, 2.330809921248113, 2.375093796955169, 2.340689035402394, 2.4905469888755993, 3.0905386399992123, 2.5860127901813676, 3.0165584041775517, 2.507274646046456, 2.9966772189238853, 1.9148344542492213, 2.5173263794588046, 2.942086267910595, 2.538801720832443, 2.603078696168031, 1.8657789782540535, 2.6105672517491216]"
"[1.99999388e+00 1.16752284e-04 2.09585507e+00 2.96411745e+00
 9.71154679e+00 3.18547550e+00 5.52465111e+00 3.44390708e+00
 7.51625138e+00 8.31007901e+00]","[2.0, 0.0, 2.1, 2.8000000000000003, 9.5, 3.0, 5.6, 3.2, 7.2, 8.0]","[2.0, 0.6000000000000001, 2.1, 2.8000000000000003, 9.5, 3.0, 5.6, 3.2, 7.2, 8.0]",3.538085764661764,"[1.822699167790768, 0.5888303506340353, 0.04063193539210097, 0.03972756532064636, 0.8149749692036803, 0.27185371171263384, 2.7143415018507664, 2.7986829273914093, 2.627037709405812, 2.8139752627004153, 2.669421422149311, 3.2722062839858292, 2.7143415018507753, 2.7986829273914005, 2.627037709405812, 2.813975262700426, 2.6694214221493144, 3.2722062839858292, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.538085764661764, 3.877093336404327, 3.5455743202428494, 3.4963492875477087, 3.760092802805957, 3.4523334479525385, 3.3155816050915625, 3.877093336404327, 3.5455743202428547, 3.4963492875477034, 3.760092802805957, 3.4523334479525385, 3.3155816050915625]"
"[ 1.99937213  3.99999998  5.99823384  7.99982187  3.38280618  5.46772597
  7.07759599 13.05902354 10.88401812  8.26780187]","[2.0, 4.0, 6.0, 8.0, 3.5, 5.3999999999999995, 7.0, 12.8, 10.8, 8.0]","[1.8, 4.0, 6.0, 8.0, 3.5, 5.3999999999999995, 7.0, 12.8, 10.8, 8.0]",2.470321845195862,"[1.853818132050197, 0.616503713145665, 0.04291999815774972, 0.616503713145665, 0.0, 0.04291999815774972, 1.012762080958412, 0.5422309839366477, 0.5746924480780287, 1.012762080958412, 0.5422309839366282, 0.5746924480780358, 2.0624181780029174, 2.102456543298733, 2.021466992169745, 2.1097642798979876, 2.041283244472517, 2.3348981234407153, 2.461391918591474, 2.741043060399017, 2.9005663698816857, 2.2125310653865053, 2.4122763520319292, 2.233455128284958, 2.468348296629687, 2.468576135057564, 2.4683174917150827, 2.46846062566956, 2.472284629184335, 2.4681900382564974, 2.471574099572887, 2.470004204505716, 2.4711513217467633, 2.469785729827076, 2.486251335081014, 2.474017035851322, 2.4504406599421955, 2.5443020810175234, 2.8949518576565927, 2.0151056600722814, 2.680433375093484, 2.039776231199678, 2.809329416938425, 2.477810400776953, 2.4285853680818015, 2.692328883340056, 2.3845695284866366, 2.2478176856256606]"
"[0.67792311 1.48765508 2.78158333 3.14375622 9.72259046 5.53379811
 5.77192364 3.2752343  6.67364831 7.00470971]","[0.7000000000000001, 1.4000000000000001, 2.6999999999999997, 3.2, 9.5, 5.3999999999999995, 5.6, 3.2, 6.3, 7.0]","[0.5, 1.4000000000000001, 2.6999999999999997, 3.2, 9.5, 5.3999999999999995, 5.6, 3.2, 6.3, 7.0]",1.1577764236147239,"[1.0466912189389568, 0.10728399256288235, 0.1110852046757671, 0.23781813077028957, 0.0539332825585177, 0.8201884143816489, 0.1110852046757671, 0.21836919723864945, 0.0, 0.23781813077028957, 0.0539332825585177, 0.8201884143816489, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 1.1577764236147239, 0.7770323747581056, 0.818768851872159, 0.7330165351629354, 0.8262574074532445, 0.7544918765365729, 1.040775890016354, 0.7770323747581003, 0.818768851872159, 0.7330165351629354, 0.8262574074532516, 0.7544918765365729, 1.040775890016354]"
"[ 1.99999927  3.99999111  5.70280685  3.36564897  9.62090375 11.37392123
  8.66222982  6.65535722  7.07189025  8.2802447 ]","[2.0, 4.0, 5.7, 3.2, 9.5, 11.4, 8.399999999999999, 6.4, 7.2, 8.0]","[1.8, 4.0, 5.7, 3.2, 9.5, 11.4, 8.399999999999999, 6.4, 7.2, 8.0]",2.327994908361868,"[1.7784840348347863, 0.5495108735270815, 0.03738095960282273, 0.5495108735270815, 0.0, 0.03738095960282273, 2.342042105602742, 2.5698599846354853, 2.3390927355708584, 2.610988846967304, 2.3650052213145205, 2.3275594512709716, 2.331458988073363, 2.3391295438773962, 2.3370170949623112, 2.366747370451778, 2.156381670930463, 2.892213066756595, 2.1679947871067142, 1.8431092962766922, 2.156381670930463, 2.892213066756584, 2.167994787106707, 1.843109296276685, 2.3249905299459837, 2.3400594059689634, 2.41601576939439, 2.2846776170575485, 2.3658856979461422, 2.285653004187404, 2.3946336085357274, 2.329152707003301, 2.3218043350279984, 2.368364519977339, 2.315758348847753, 2.3001472928212703, 2.6670024801044327, 2.3354834639429534, 2.2862584312478127, 2.550001946506063, 2.2422425916526443, 2.1054907487916665, 2.6670024801044327, 2.3354834639429587, 2.2862584312478074, 2.550001946506063, 2.2422425916526443, 2.1054907487916665]"
"[1.88001299 0.67182583 2.75359541 2.98477779 3.70199743 4.47907583
 5.82651542 3.94234458 6.68673992 7.00444911]","[1.9000000000000001, 0.6000000000000001, 2.6999999999999997, 2.8000000000000003, 3.5, 4.2, 5.6, 4.0, 6.3, 7.0]","[1.9000000000000001, 0.6000000000000001, 2.6999999999999997, 2.0, 3.5, 4.2, 5.6, 4.0, 6.3, 7.0]",0.48444146450387393,"[0.17458083164957827, 0.9866045300174413, 0.010162093193819999, 0.11761824279206401, 0.4373695245884264, 0.01091611790590541, 0.951169562006644, 0.000611065223557361, 2.784937503123798, 3.7493482984984894e-06, 0.29349152765736264, 0.5946751679924986, 0.7663295083912356, 0.02509036927666486, 0.24055200918381914, 0.0476747497002048, 0.13705189107011329, 0.04326891508746833, 0.044274381086212955, 0.09543881241807384, 0.021426856027311203, 0.3384452314899704, 0.4448250929719926, 0.4488022803950944, 0.44073081265225156, 0.44952560993582225, 0.4427155258452693, 0.4714820856495585, 0.4448250929719926, 0.4488022803950962, 0.44073081265225156, 0.44952560993582225, 0.4427155258452693, 0.4714820856495585, 0.48444146450387393, 0.48444146450387393, 0.48444146450387393, 0.48444146450387393, 0.48444146450387393, 0.48444146450387393, 0.48444146450387393, 0.48444146450387393, 0.48444146450387393, 0.48444146450387393, 0.48444146450387393, 0.48444146450387393, 0.10369741564725388, 0.1454338927613108, 0.05968157605208191, 0.15292244834239455, 0.08115691742572295, 0.367440930905504, 0.10369741564725032, 0.1454338927613108, 0.05968157605208191, 0.15292244834240165, 0.08115691742572295, 0.367440930905504]"
"[ 1.99574284  3.99916098  5.96701788  7.99185466  9.97732664 11.99947206
 13.99764483 15.63066855 14.16716259  8.33421073]","[2.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 14.4, 8.0]","[1.8, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 16.0, 14.4, 8.0]",2.636248569368554,"[1.9416436712454908, 0.694604898123063, 0.04937748640930906, 0.694604898123063, 0.0, 0.04937748640930906, 1.090863265935809, 0.5422309839366513, 0.5811499363295862, 1.090863265935809, 0.5422309839366282, 0.5811499363295942, 1.4871216337485391, 1.0844619678732554, 1.1129223862498732, 1.487121633748556, 1.0844619678732723, 1.1129223862498732, 1.8833800015612923, 1.6266929518098827, 1.644694836170161, 1.883380001561303, 1.6266929518098827, 1.6446948361701645, 2.7149867135034653, 2.0438083775713185, 2.6903161423760684, 2.061088201357295, 3.2195125633213095, 1.8220284334669898, 2.9752561411111174, 2.643737124949645, 2.5945120922544938, 2.8582556075127483, 2.550496252659328, 2.4137444097983516]"
"[ 0.70036177  1.48765508  5.9937986   7.86331941  9.72259046  5.53379811
 13.79099338 15.57467139  7.46379029  7.02893127]","[0.7000000000000001, 1.4000000000000001, 6.0, 8.0, 9.5, 5.3999999999999995, 14.0, 15.200000000000001, 7.2, 7.0]","[0.5, 1.4000000000000001, 6.0, 8.0, 9.5, 5.3999999999999995, 14.0, 15.200000000000001, 7.2, 7.0]",0.7598833027298806,"[0.6898215704074282, 0.06832176949612112, 0.07006173232245239, 0.15083567256615638, 0.033926936946464537, 0.5321965468131431, 0.07006173232245239, 0.1383835018185735, 0.0, 0.15083567256615638, 0.033926936946464537, 0.5321965468131431, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 0.7598833027298806, 1.0988908744724455, 0.7673718583109661, 0.7181468256158272, 0.9818903408740756, 0.674130986020657, 0.5373791431596793, 0.37913925387325875, 0.42087573098731923, 0.3351234142780921, 0.4283642865684083, 0.3565987556517296, 0.6428827691315124]"
