pareto_points,approximated_pareto_points,grid_points_with_highest_costs,differences,difference_with_previous_champs
[1.99999978 3.99999978 5.9537058  7.73866331 3.50267107 4.2031515 ],"[2.0, 4.0, 6.0, 7.6000000000000005, 3.5, 4.2]","[2.0, 4.0, 6.0, 7.6000000000000005, 3.5, 2.4]",0.878571428571429,"[0.07499999999999973, 0.07500000000000062, 0.07499999999999973, 0.15000000000000036, 0.07499999999999973, 0.0, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.06785714285714262, 0.13516483516483513, 0.2928571428571427, 0.2703296703296698, 0.2928571428571427, 0.40549450549450494, 0.5857142857142854, 0.7208791208791205, 0.2928571428571427, 0.563186813186813, 8.881784197001252e-16, 0.40549450549450583]"
"[3.82649778e-06 2.64255511e-05 5.76939892e+00 7.47492522e+00
 3.50259615e+00 4.20316769e+00]","[0.0, 0.0, 5.7, 7.6000000000000005, 3.5, 4.2]","[0.0, 0.0, 5.7, 7.6000000000000005, 3.5, 2.4]",1.2857142857142865,"[0.07500000000000018, 0.15000000000000036, 0.22499999999999876, 0.07500000000000018, 0.15000000000000036, 0.22499999999999876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4285714285714288, 0.197802197802198, 0.42857142857142794, 0.3956043956043951, 0.4285714285714288, 0.5934065934065931, 0.8571428571428568, 1.0549450549450547, 0.4285714285714288, 0.8241758241758239, 8.881784197001252e-16, 0.593406593406594]"
[1.9998075  3.99999332 4.12909253 0.63499049 3.50112301 4.20255636],"[2.0, 4.0, 4.2, 0.8, 3.5, 4.2]","[2.0, 4.0, 4.2, 0.8, 3.5, 2.4]",1.3714285714285719,"[0.07499999999999973, 0.07500000000000062, 0.07499999999999973, 0.15000000000000036, 0.07499999999999973, 0.0, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.2250000000000001, 0.23214285714285676, 0.21098901098901024, 0.45714285714285685, 0.4219780219780218, 0.4571428571428573, 0.6329670329670325, 0.9142857142857141, 1.1252747252747244, 0.4571428571428573, 0.8791208791208791, 8.881784197001252e-16, 0.6329670329670334]"
[ 1.99994751  3.99978196  5.99997086  7.99999924  3.50187313 11.99985082],"[2.0, 4.0, 6.0, 8.0, 3.5, 12.0]","[1.7000000000000002, 4.0, 6.0, 8.0, 3.5, 12.0]",0.2999999999999998,"[0.09999999999999964, 0.10000000000000053, 0.09999999999999964, 0.20000000000000018, 0.09999999999999964, 0.0, 0.25, 0.20000000000000018, 0.14999999999999947, 0.25, 0.20000000000000018, 0.14999999999999947, 0.3952380952380947, 0.3512820512820509, 0.4904761904761905, 0.402564102564102, 0.5857142857142854, 0.453846153846154, 0.453846153846154, 0.6076923076923073, 0.7615384615384615]"
[0.10209676 2.15076289 5.97635212 7.941486   3.50560089 4.20257103],"[0.1, 2.2, 6.0, 8.0, 3.5, 4.2]","[0.1, 2.2, 6.0, 8.0, 3.5, 2.4]",1.1571428571428575,"[0.07500000000000018, 0.14999999999999858, 0.22500000000000053, 0.2999999999999998, 0.0, 0.14999999999999947, 0.07500000000000018, 0.3000000000000007, 0.07500000000000018, 0.4500000000000002, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.1607142857142856, 0.17802197802197917, 0.38571428571428434, 0.3560439560439548, 0.3857142857142861, 0.534065934065934, 0.7714285714285705, 0.9494505494505496, 0.3857142857142861, 0.7417582417582409, 8.881784197001252e-16, 0.5340659340659348]"
[0.72775837 0.31448687 5.80313415 7.97911683 3.50264885 4.20329243],"[0.7000000000000001, 0.4, 5.7, 8.0, 3.5, 4.2]","[0.7000000000000001, 0.4, 5.7, 8.0, 3.5, 2.4]",1.1941071428571437,"[0.07500000000000195, 0.15000000000000124, 0.0749999999999984, 0.2999999999999998, 0.07500000000000018, 0.4500000000000002, 0.14999999999999858, 0.2999999999999998, 0.07500000000000018, 0.375, 0.4500000000000002, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.17303571428571463, 0.18370879120879202, 0.3980357142857134, 0.3674175824175814, 0.39803571428571427, 0.5511263736263734, 0.7960714285714277, 0.9797802197802197, 0.39803571428571427, 0.7654532967032965, 8.881784197001252e-16, 0.5511263736263743]"
[0.00948847 1.84350823 5.94510033 7.96835622 3.500644   4.20264812],"[0.0, 1.8, 6.0, 8.0, 3.5, 4.2]","[0.0, 1.8, 6.0, 8.0, 3.5, 2.4]",1.189285714285715,"[0.07500000000000018, 0.15000000000000036, 0.22500000000000053, 0.07500000000000107, 0.15000000000000124, 0.0749999999999984, 0.2999999999999998, 0.07500000000000018, 0.4500000000000002, 0.22499999999999964, 0.22499999999999964, 0.22499999999999964, 0.22499999999999964, 0.22499999999999964, 0.22499999999999964, 0.1714285714285726, 0.1829670329670341, 0.39642857142857046, 0.3659340659340655, 0.39642857142857135, 0.5489010989010987, 0.7928571428571418, 0.9758241758241759, 0.39642857142857135, 0.7623626373626369, 8.881784197001252e-16, 0.5489010989010996]"
[0.01784712 1.62606863 5.97485128 7.98571881 3.50239835 4.20453887],"[0.0, 1.6, 6.0, 8.0, 3.5, 4.2]","[0.0, 1.6, 6.0, 8.0, 3.5, 2.4]",1.2000000000000002,"[0.07500000000000107, 0.15000000000000124, 0.22500000000000142, 0.0749999999999984, 0.14999999999999947, 0.07500000000000018, 0.2999999999999998, 0.07500000000000018, 0.4500000000000002, 0.22499999999999876, 0.22499999999999876, 0.22499999999999876, 0.22499999999999876, 0.22499999999999876, 0.22499999999999876, 0.1750000000000007, 0.18461538461538485, 0.39999999999999947, 0.3692307692307679, 0.40000000000000036, 0.5538461538461537, 0.7999999999999998, 0.9846153846153847, 0.40000000000000036, 0.7692307692307692, 8.881784197001252e-16, 0.5538461538461545]"
[0.68067951 0.38032887 5.94124644 7.96202151 3.50302747 4.20270628],"[0.7000000000000001, 0.4, 6.0, 8.0, 3.5, 4.2]","[0.7000000000000001, 0.4, 6.0, 8.0, 2.0, 4.2]",1.189285714285715,"[0.07500000000000195, 0.15000000000000124, 0.0749999999999984, 0.2999999999999998, 0.07500000000000018, 0.4500000000000002, 0.14999999999999858, 0.2999999999999998, 0.07500000000000018, 0.375, 0.4500000000000002, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.1714285714285717, 0.1829670329670332, 0.39642857142857046, 0.3659340659340655, 0.39642857142857224, 0.5489010989010996, 0.7928571428571427, 0.9758241758241768, 0.39642857142857224, 0.7623626373626378, 0.0, 0.5489010989010996]"
[0.38730325 1.66931795 5.19772791 7.93443151 3.50222    4.19861031],"[0.4, 1.6, 5.1, 8.0, 3.5, 4.2]","[0.4, 1.6, 5.1, 8.0, 2.0, 4.2]",1.1764285714285716,"[0.07500000000000018, 0.14999999999999858, 0.07500000000000018, 0.3000000000000007, 0.07500000000000018, 0.4500000000000002, 0.15000000000000036, 0.29999999999999893, 0.07500000000000018, 0.3749999999999991, 0.0, 0.4500000000000002, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.22500000000000053, 0.16714285714285726, 0.18098901098901177, 0.392142857142856, 0.36197802197802176, 0.3921428571428578, 0.5429670329670335, 0.7842857142857138, 0.9652747252747265, 0.3921428571428578, 0.7541208791208796, 0.0, 0.5429670329670335]"
