pareto_points,approximated_pareto_points,grid_points_with_highest_costs,differences,difference_with_previous_champs
"[1.98000348e+00 2.26027240e-02 7.25898697e-02 7.94323146e+00
 3.52799701e+00 1.04240618e+01 4.94995096e+00 5.63870066e+00
 2.51868785e-05 2.66180719e-04]","[2.0, 0.0, 0.0, 8.0, 3.5, 10.2, 4.8999999999999995, 5.6000000000000005, 0.0, 0.0]","[2.0, 0.6000000000000001, 0.0, 8.0, 3.5, 10.2, 4.8999999999999995, 5.6000000000000005, 0.0, 0.0]",1.8820133450665963,"[0.4242746772959727, 0.38773778536888415, 0.34992004977734226, 0.4021048605893718, 0.22762920616096594, 0.4924516264634313, 1.8351074581659272, 1.7963515633322018, 1.7661880862339885, 1.8558070811402505, 1.8318908123584485, 1.810343543147642, 1.8809478319611248, 1.881641402312118, 1.879770253229685, 1.8808290616855192, 1.8790895738068212, 1.8801570118143118, 1.88114439076994, 1.8830186779854365, 1.8804146855781685, 1.8841570685339057, 1.8798266399818448, 1.88542475618007, 1.8815382605797293, 1.8816051715046012, 1.8814376221132036, 1.881527209655749, 1.881402624826526, 1.8814679465389617, 1.8815382605797293, 1.8816051715046012, 1.8814376221132036, 1.881527209655749, 1.881402624826526, 1.8814679465389617, 1.5417554654104464, 1.2014975857542964, 0.8612397060981447, 1.5417554654104464, 1.2014975857542964, 0.8612397060981447]"
"[ 0.78291001  1.47190575  2.11601647  2.82573616  0.02230404  0.04504228
 13.90147951  6.30524274  0.3686939  18.19605282]","[0.8, 1.4000000000000001, 2.1, 2.8000000000000003, 0.0, 0.0, 14.0, 6.4, 0.0, 18.0]","[0.8, 1.4000000000000001, 2.6999999999999997, 2.8000000000000003, 0.0, 0.0, 14.0, 6.4, 0.0, 18.0]",1.46079592604071,"[2.7873569065629464, 0.018827671666604928, 0.00015899237292060775, 0.02347597012888336, 0.0651926772692395, 0.08917803209877384, 3.305813894478595, 3.7326227915339327, 2.4438392099632242, 3.2284125249207563, 1.7001579514455045, 2.75584123990018, 1.4414891640289742, 0.01200760357901487, 0.029830809202088915, 0.00047909034513082815, 0.13730931452156803, 0.009943810662509378, 0.00047909034513082815, 0.012486693924145698, 0.030309899547219743, 0.0, 0.13730931452156625, 0.009943810662509378, 1.4607959260406869, 1.4607959260406709, 1.4607959260406584, 1.4607959260406869, 1.4607959260406709, 1.4607959260406584, 1.46079592604071, 1.46079592604071, 1.46079592604071, 1.46079592604071, 1.4607959260407082, 1.4607959260407082, 1.4607959260407082, 1.4607959260407082, 1.4607959260407082, 1.12053804638456, 0.78028016672841, 0.4400222870722583, 1.2778221201855402, 1.643769731895878, 1.0948483143303704, 1.8267435377510495, 0.9118745084752007]"
"[1.98360372e+00 1.95180714e-02 8.29189480e-02 7.96377234e+00
 3.51891136e+00 4.21737757e+00 4.79701234e+00 6.63115520e+00
 8.57399089e-04 1.50876654e-03]","[2.0, 0.0, 0.0, 8.0, 3.5, 4.2, 4.8999999999999995, 6.4, 0.0, 0.0]","[2.0, 0.6000000000000001, 0.0, 8.0, 3.5, 4.2, 4.8999999999999995, 6.4, 0.0, 0.0]",1.864813842198604,"[0.4211066767080158, 0.3845946183822413, 0.3468120994541586, 0.3985574940533976, 0.22542150570151165, 0.48687894195267667, 1.8237797066597459, 1.7907788788214472, 1.7661880862339885, 1.8417755788602168, 1.8210024770650577, 1.8025631581774348, 1.8563265152442305, 1.8565054582976117, 1.856308721656033, 1.8563048551126329, 1.856809658603117, 1.8562543704284522, 1.8563265152442305, 1.8565054582976117, 1.856308721656033, 1.8563048551126329, 1.856809658603117, 1.8562543704284522, 1.864813842198604, 1.864813842198604, 1.864813842198604, 1.864813842198604, 1.864813842198604, 1.864813842198604, 1.864813842198604, 1.864813842198604, 1.864813842198604, 1.864813842198604, 1.864813842198604, 1.864813842198604, 1.524555962542454, 1.1842980828863023, 0.8440402032301524, 1.524555962542454, 1.1842980828863023, 0.8440402032301524]"
"[0.91372503 1.62209784 1.98341237 2.82401134 3.12011424 3.8397006
 5.03733783 7.10461145 1.8497125  2.05225119]","[0.9, 1.6, 2.1, 2.8000000000000003, 3.0, 3.5999999999999996, 4.8999999999999995, 7.2, 1.8, 2.0]","[0.9, 1.4000000000000001, 2.1, 2.8000000000000003, 3.0, 3.5999999999999996, 4.8999999999999995, 7.2, 1.8, 2.0]",3.228412524920783,"[0.5042102666131747, 0.4725712850205763, 2.7370135682336, 2.297642345410246, 3.286986222812013, 1.8929225931026537, 0.018827671666606705, 2.7558412399002066, 2.8281501613176534, 2.3164700170768526, 2.028648409470728, 1.9117502647692604, 1.5568114559127455, 1.6032259348324143, 1.5337422461849055, 1.5506136587751609, 1.6200256942852054, 1.5295891706028062, 1.5568114559127455, 1.6032259348324143, 1.5337422461849055, 1.5506136587751609, 1.6200256942852054, 1.5295891706028062, 3.2284125249207403, 3.2284125249206195, 3.2284125249207047, 3.228412524920804, 3.2284125249206728, 3.2284125249207793, 3.2284125249207403, 3.2284125249206195, 3.2284125249207047, 3.228412524920804, 3.2284125249206728, 3.2284125249207793, 3.2284125249209144, 3.2284125249209286, 3.2284125249208824, 3.228412524920911, 3.2284125249208575, 3.228412524920893, 3.2284125249207865, 3.2284125249207793, 3.228412524920815, 3.228412524920776, 3.228412524920783, 3.228412524920776, 3.568670404576931, 2.888154645264633, 3.908928284233081, 2.547896765608483, 2.2076388859523313, 3.568670404576931, 2.888154645264633, 3.908928284233081, 2.547896765608483, 2.2076388859523313]"
"[1.97435769e+00 2.27957452e-04 2.02738271e+00 3.19350201e+00
 3.58056116e+00 1.38318956e+00 4.51881272e+00 9.65621578e+00
 1.74555043e+01 1.89114223e+01]","[2.0, 0.0, 2.1, 3.2, 3.5, 1.2, 4.199999999999999, 9.600000000000001, 17.1, 19.0]","[2.0, 0.6000000000000001, 2.1, 3.2, 3.5, 1.2, 4.199999999999999, 9.600000000000001, 17.1, 19.0]",2.470628324290221,"[0.5326924969604949, 0.49530572990419763, 0.45628278182542736, 0.523505641524526, 0.30318287594121784, 0.6831644396588832, 2.670560393246184, 2.6972185981209176, 2.6169090785767963, 2.6657318291244785, 2.5709017009990855, 2.636295716225188, 2.6588349438634165, 2.4703207835595915, 2.4701902021725193, 2.47270941506903, 2.475993076124114, 2.4777863282707226, 2.4901026386829788, 2.49761232450747, 2.4762722454918364, 2.4887827237065405, 2.466347375402041, 2.481041942381143, 2.482449784778339, 2.4627768162146975, 2.4981062474325864, 2.4589848910124914, 2.4592958361641237, 2.4667814043424414, 2.4562893337761746, 2.4634823660054046, 2.472539709704627, 2.4607688701110444, 2.4702821133810673, 2.4729084150418608, 2.468494066928539, 2.4753268071865655, 2.466512693211193, 2.477875511865955, 2.4646907483604164, 2.2876545184350494, 2.653602130145389, 2.1046807125798797, 1.9217069067247117, 2.287654518435051, 2.653602130145389, 2.1046807125798797, 1.9217069067247117]"
"[1.99924371e+00 1.60447864e-03 1.05334146e-02 3.34816123e-02
 9.76935856e-01 1.19960888e+01 1.39140813e+01 1.59781712e+01
 7.85036713e-04 7.29834896e-04]","[2.0, 0.0, 0.0, 0.0, 1.0, 12.0, 14.0, 16.0, 0.0, 0.0]","[2.0, 0.6000000000000001, 0.0, 0.0, 1.0, 12.0, 14.0, 16.0, 0.0, 0.0]",1.887691401906821,"[0.42532052655954544, 0.38877543633737055, 0.3509460746995199, 0.40327594960159274, 0.22835803238293018, 0.4942913319274549, 1.8388470788641769, 1.798191268796307, 1.766188086234111, 1.8388470788641769, 1.798191268796307, 1.766188086234111, 1.8894061911491953, 1.8864642978119122, 1.8915890900194867, 1.885738887116684, 1.8855234508920073, 1.8869698887675703, 1.8863918811414457, 1.885959288404921, 1.8875323217543212, 1.8873980553532785, 1.8872890462360896, 1.8875323217543212, 1.8873980553532785, 1.8872890462360896, 1.547433522250671, 1.207175642594521, 0.8669177629383693, 1.547433522250671, 1.207175642594521, 0.8669177629383693]"
"[ 0.69798805  1.40458736  3.19124179  2.89059836  3.50800656  1.38227445
 13.00090231 15.96276756 17.99898167 19.97725657]","[0.7000000000000001, 1.4000000000000001, 3.3, 2.8000000000000003, 3.5, 1.2, 13.299999999999999, 16.0, 18.0, 20.0]","[0.8, 1.4000000000000001, 3.3, 2.8000000000000003, 3.5, 1.2, 13.299999999999999, 16.0, 18.0, 20.0]",4.400427086006324,"[4.329791402776388, 0.07063568322993596, 0.3451433457091966, 0.087586389326054, 0.7801019107515419, 0.22245347199285703, 0.07063568322993596, 0.0, 0.3451433457091966, 0.087586389326054, 0.7801019107515419, 0.22245347199285703, 4.400427086006319, 4.400427086006335, 4.4004270860063155, 4.4004270860063475, 4.400427086006314, 4.400427086006362, 4.40042708600644, 4.400427086006463, 4.400427086006394, 4.4004270860064345, 4.400427086006358, 4.40042708600641, 4.400427086006319, 4.400427086006326, 4.40042708600631, 4.400427086006319, 4.400427086006305, 4.400427086006314, 4.400427086006339, 4.400427086006314, 4.400427086006358, 4.400427086006307, 4.400427086006303, 4.400427086006324, 4.400427086006326, 4.400427086006323, 4.400427086006323, 4.400427086006324, 4.400427086006323, 4.400427086006323, 4.217453280151155, 4.034479474295983, 3.851505668440815, 4.217453280151155, 4.034479474295983, 3.851505668440815]"
"[1.99730546e+00 7.86354099e-02 2.10637936e+00 2.82546175e+00
 2.66492647e-01 2.56479093e+00 4.91314491e+00 5.99576731e+00
 1.79956845e+01 1.25785862e-02]","[2.0, 0.0, 2.1, 2.8000000000000003, 0.5, 2.4, 4.8999999999999995, 5.6000000000000005, 18.0, 0.0]","[2.0, 0.6000000000000001, 2.1, 2.8000000000000003, 0.5, 2.4, 4.8999999999999995, 5.6000000000000005, 18.0, 0.0]",1.7264153779094595,"[0.3956148692060406, 0.35930263830034903, 0.3218034957103839, 0.3700130596812219, 0.20765690194849995, 0.44203747274418603, 1.510353095516491, 1.5091843394858753, 1.5199250928088475, 1.5107915364505935, 1.5390196452397866, 1.5151844591233754, 1.510353095516491, 1.5091843394858753, 1.5199250928088475, 1.5107915364505935, 1.5390196452397866, 1.5151844591233754, 1.7264153779094595, 1.7264153779094595, 1.7264153779094613, 1.726415377909463, 1.7264153779094595, 1.7264153779094595, 1.7264153779094613, 1.7264153779094613, 1.7264153779094613, 1.7264153779094649, 1.7264153779094578, 1.7264153779094578, 1.7264153779094578, 1.7264153779094578, 1.7264153779094578, 1.7264153779094578, 1.7264153779094578, 1.7264153779094578, 1.7264153779094578, 1.7264153779094578, 1.7264153779094578, 1.7264153779094578, 1.5434415720542898, 1.36046776619912, 1.1774939603439503, 1.3861574982533096, 1.0458996185971596, 0.7056417389410079]"
"[ 0.73078184  1.39534652  0.11006222  0.07081452  3.38022016  0.87527909
 13.45921409 15.38743893 13.51790509 19.9043001 ]","[0.7000000000000001, 1.4000000000000001, 0.0, 0.0, 3.5, 0.6, 13.299999999999999, 15.200000000000001, 13.5, 20.0]","[0.6000000000000001, 1.4000000000000001, 0.0, 0.0, 3.5, 0.6, 13.299999999999999, 15.200000000000001, 13.5, 20.0]",3.1145822438230724,"[3.1145822438230724, 0.0005848928376934737, 0.10745135153264229, 0.00330565509442593, 0.3633882071636929, 0.04933789274829081, 0.0, 0.0005848928376934737, 0.10745135153264229, 0.00330565509442593, 0.3633882071636929, 0.04933789274829081, 3.114582243823021, 3.11458224382298, 3.114582243822948, 3.114582243823021, 3.11458224382298, 3.114582243822948, 3.114582243823067, 3.114582243823069, 3.114582243823067, 3.114582243823067, 3.114582243823067, 3.114582243823067, 3.114582243823076, 3.1145822438230706, 3.114582243823069, 3.114582243823067, 3.1145822438230724, 3.1145822438230724, 3.1145822438230724, 3.1145822438230724, 3.1145822438230724, 3.1145822438230724, 3.1145822438230724, 3.1145822438230724, 2.9316084379679026, 3.2975560496782403, 2.748634632112733, 3.480529855533412, 2.565660826257563, 3.66350366138858, 2.9316084379679026, 2.748634632112731, 2.565660826257563]"
"[ 0.69680894  1.40434873  2.11518469  2.71570739  3.38018397  4.59881922
 13.99750847 15.93446182 17.94567845 18.81459811]","[0.7000000000000001, 1.4000000000000001, 2.1, 2.8000000000000003, 3.5, 4.8, 14.0, 16.0, 18.0, 19.0]","[0.9, 1.4000000000000001, 2.1, 2.8000000000000003, 3.5, 4.8, 14.0, 16.0, 18.0, 19.0]",2.806184578229601,"[2.8060255858566805, 0.01866867929367899, 0.06503368489632422, 0.00015899237292060775, 0.2756737033812353, 0.02347597012888869, 0.00015899237292060775, 0.0188276716665996, 0.06519267726924483, 0.0, 0.2756737033812353, 0.02347597012888869, 2.8061845782293595, 2.8061845782293577, 2.80618457822937, 2.8061845782293595, 2.8061845782293915, 2.806184578229365, 2.8061845782293595, 2.8061845782293577, 2.80618457822937, 2.8061845782293595, 2.8061845782293915, 2.806184578229365, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.806184578229601, 2.6232107723744313, 2.4402369665192616, 2.257263160664092, 2.6232107723744296, 2.989158384084771, 2.4402369665192616, 2.257263160664092]"
